File Name,Dataset,aid,Date,Count,Minimum,Maximum,Range,Mean,Standard Deviation,Variance,Upper Quartile,Upper 1.5 IQR,Median,Lower 1.5 IQR,Lower Quartile
MOD13A3_006__1_km_monthly_NDVI_doy2000275_aid0001,_1_km_monthly_NDVI,aid0001,2000-10-01,1035.0,0.0206,0.7488,"(0.0206,0.7488)",0.503,0.101,0.0102,0.5687,0.7488,0.4985,0.2772,0.4443
MOD13A3_006__1_km_monthly_NDVI_doy2000306_aid0001,_1_km_monthly_NDVI,aid0001,2000-11-01,1035.0,-0.0084,0.7029,"(-0.0084,0.7029)",0.4311,0.112,0.0125,0.5058,0.7029,0.419,0.169,0.3656
MOD13A3_006__1_km_monthly_NDVI_doy2000336_aid0001,_1_km_monthly_NDVI,aid0001,2000-12-01,1035.0,-0.0358,0.9101,"(-0.0358,0.9101)",0.3888,0.1509,0.0228,0.4818,0.7285,0.368,0.0742,0.317
MOD13A3_006__1_km_monthly_NDVI_doy2001001_aid0001,_1_km_monthly_NDVI,aid0001,2001-01-01,1035.0,-0.062,0.9559,"(-0.062,0.9559)",0.3493,0.1626,0.0265,0.4412,0.6744,0.3366,0.055,0.2851
MOD13A3_006__1_km_monthly_NDVI_doy2001032_aid0001,_1_km_monthly_NDVI,aid0001,2001-02-01,1035.0,-0.0306,0.7264,"(-0.0306,0.7264)",0.3464,0.1534,0.0235,0.4424,0.6952,0.3251,0.0218,0.2736
MOD13A3_006__1_km_monthly_NDVI_doy2001060_aid0001,_1_km_monthly_NDVI,aid0001,2001-03-01,1035.0,-0.0277,0.7468,"(-0.0277,0.7468)",0.3511,0.155,0.024,0.4478,0.6732,0.3387,0.0407,0.2837
MOD13A3_006__1_km_monthly_NDVI_doy2001091_aid0001,_1_km_monthly_NDVI,aid0001,2001-04-01,1035.0,-0.0441,0.711,"(-0.0441,0.711)",0.4168,0.1386,0.0192,0.5028,0.7076,0.4209,0.1718,0.3647
MOD13A3_006__1_km_monthly_NDVI_doy2001121_aid0001,_1_km_monthly_NDVI,aid0001,2001-05-01,1035.0,0.0386,0.77,"(0.0386,0.77)",0.5099,0.1183,0.014,0.5948,0.77,0.5169,0.213,0.4406
MOD13A3_006__1_km_monthly_NDVI_doy2001152_aid0001,_1_km_monthly_NDVI,aid0001,2001-06-01,1035.0,0.04,0.7611,"(0.04,0.7611)",0.5051,0.1334,0.0178,0.6115,0.7611,0.51,0.1058,0.4074
MOD13A3_006__1_km_monthly_NDVI_doy2001182_aid0001,_1_km_monthly_NDVI,aid0001,2001-07-01,1035.0,0.0753,0.8573,"(0.0753,0.8573)",0.6764,0.094,0.0088,0.748,0.8573,0.6927,0.4211,0.617
MOD13A3_006__1_km_monthly_NDVI_doy2001213_aid0001,_1_km_monthly_NDVI,aid0001,2001-08-01,1035.0,0.1096,0.822,"(0.1096,0.822)",0.6684,0.0871,0.0076,0.7306,0.822,0.681,0.4627,0.6217
MOD13A3_006__1_km_monthly_NDVI_doy2001244_aid0001,_1_km_monthly_NDVI,aid0001,2001-09-01,1035.0,0.0421,0.8124,"(0.0421,0.8124)",0.5719,0.1028,0.0106,0.64,0.8124,0.5699,0.3413,0.5058
MOD13A3_006__1_km_monthly_NDVI_doy2001274_aid0001,_1_km_monthly_NDVI,aid0001,2001-10-01,1035.0,0.0033,0.7183,"(0.0033,0.7183)",0.4754,0.1038,0.0108,0.5478,0.7183,0.4651,0.2092,0.4108
MOD13A3_006__1_km_monthly_NDVI_doy2001305_aid0001,_1_km_monthly_NDVI,aid0001,2001-11-01,1035.0,-0.0433,0.7874,"(-0.0433,0.7874)",0.4215,0.1549,0.024,0.5148,0.7536,0.4143,0.1227,0.3555
MOD13A3_006__1_km_monthly_NDVI_doy2001335_aid0001,_1_km_monthly_NDVI,aid0001,2001-12-01,1035.0,-0.0527,0.8507,"(-0.0527,0.8507)",0.406,0.1528,0.0234,0.4992,0.7397,0.3895,0.0881,0.3345
MOD13A3_006__1_km_monthly_NDVI_doy2002001_aid0001,_1_km_monthly_NDVI,aid0001,2002-01-01,1035.0,-0.0573,0.8022,"(-0.0573,0.8022)",0.3637,0.1597,0.0255,0.4602,0.704,0.3523,0.0391,0.2906
MOD13A3_006__1_km_monthly_NDVI_doy2002032_aid0001,_1_km_monthly_NDVI,aid0001,2002-02-01,1033.0,-0.0575,0.878,"(-0.0575,0.878)",0.3105,0.1622,0.0263,0.4002,0.6233,0.3146,0.029,0.2505
MOD13A3_006__1_km_monthly_NDVI_doy2002060_aid0001,_1_km_monthly_NDVI,aid0001,2002-03-01,1035.0,-0.039,0.8688,"(-0.039,0.8688)",0.3485,0.1682,0.0283,0.4402,0.6522,0.3636,0.097,0.2988
MOD13A3_006__1_km_monthly_NDVI_doy2002091_aid0001,_1_km_monthly_NDVI,aid0001,2002-04-01,1035.0,-0.0271,0.7288,"(-0.0271,0.7288)",0.4317,0.158,0.025,0.5185,0.6967,0.458,0.23,0.3983
MOD13A3_006__1_km_monthly_NDVI_doy2002121_aid0001,_1_km_monthly_NDVI,aid0001,2002-05-01,1035.0,0.0081,0.7666,"(0.0081,0.7666)",0.5078,0.1268,0.0161,0.5965,0.7666,0.5152,0.1876,0.4316
MOD13A3_006__1_km_monthly_NDVI_doy2002152_aid0001,_1_km_monthly_NDVI,aid0001,2002-06-01,1035.0,0.0502,0.7771,"(0.0502,0.7771)",0.5369,0.1259,0.0159,0.637,0.7771,0.55,0.1752,0.4442
MOD13A3_006__1_km_monthly_NDVI_doy2002182_aid0001,_1_km_monthly_NDVI,aid0001,2002-07-01,1035.0,0.098,0.825,"(0.098,0.825)",0.6119,0.112,0.0125,0.6952,0.825,0.633,0.3248,0.5412
MOD13A3_006__1_km_monthly_NDVI_doy2002213_aid0001,_1_km_monthly_NDVI,aid0001,2002-08-01,1035.0,0.1186,0.8217,"(0.1186,0.8217)",0.631,0.0934,0.0087,0.6998,0.8217,0.6472,0.3925,0.5765
MOD13A3_006__1_km_monthly_NDVI_doy2002244_aid0001,_1_km_monthly_NDVI,aid0001,2002-09-01,1035.0,0.1185,0.8046,"(0.1185,0.8046)",0.6318,0.094,0.0088,0.6994,0.8046,0.6463,0.4111,0.5806
MOD13A3_006__1_km_monthly_NDVI_doy2002274_aid0001,_1_km_monthly_NDVI,aid0001,2002-10-01,1035.0,0.0408,0.7367,"(0.0408,0.7367)",0.5074,0.103,0.0106,0.5744,0.7367,0.502,0.2468,0.4411
MOD13A3_006__1_km_monthly_NDVI_doy2002305_aid0001,_1_km_monthly_NDVI,aid0001,2002-11-01,1035.0,-0.0044,0.7271,"(-0.0044,0.7271)",0.4336,0.1128,0.0127,0.5062,0.6748,0.4234,0.1503,0.3605
MOD13A3_006__1_km_monthly_NDVI_doy2002335_aid0001,_1_km_monthly_NDVI,aid0001,2002-12-01,1035.0,-0.0182,1.0,"(-0.0182,1.0)",0.3954,0.1315,0.0173,0.4788,0.7215,0.3727,0.0865,0.3136
MOD13A3_006__1_km_monthly_NDVI_doy2003001_aid0001,_1_km_monthly_NDVI,aid0001,2003-01-01,1035.0,-0.0584,0.8429,"(-0.0584,0.8429)",0.3371,0.1641,0.0269,0.4295,0.6765,0.3209,0.0173,0.2645
MOD13A3_006__1_km_monthly_NDVI_doy2003032_aid0001,_1_km_monthly_NDVI,aid0001,2003-02-01,1025.0,-0.0662,0.9277,"(-0.0662,0.9277)",0.2985,0.1728,0.0299,0.395,0.6456,0.2976,-0.0238,0.2273
MOD13A3_006__1_km_monthly_NDVI_doy2003060_aid0001,_1_km_monthly_NDVI,aid0001,2003-03-01,1035.0,-0.037,0.9277,"(-0.037,0.9277)",0.2946,0.1547,0.0239,0.3896,0.5933,0.3116,0.0418,0.2485
MOD13A3_006__1_km_monthly_NDVI_doy2003091_aid0001,_1_km_monthly_NDVI,aid0001,2003-04-01,1035.0,-0.0422,0.7084,"(-0.0422,0.7084)",0.4165,0.1638,0.0268,0.5181,0.7084,0.4538,0.1967,0.3822
MOD13A3_006__1_km_monthly_NDVI_doy2003121_aid0001,_1_km_monthly_NDVI,aid0001,2003-05-01,1035.0,0.0113,0.7683,"(0.0113,0.7683)",0.4827,0.1248,0.0156,0.5559,0.732,0.4923,0.2582,0.436
MOD13A3_006__1_km_monthly_NDVI_doy2003152_aid0001,_1_km_monthly_NDVI,aid0001,2003-06-01,1035.0,0.0513,0.7661,"(0.0513,0.7661)",0.5442,0.1232,0.0152,0.6346,0.7661,0.5626,0.2389,0.4667
MOD13A3_006__1_km_monthly_NDVI_doy2003182_aid0001,_1_km_monthly_NDVI,aid0001,2003-07-01,1035.0,0.1026,0.8249,"(0.1026,0.8249)",0.6516,0.0939,0.0088,0.7221,0.8249,0.6624,0.4439,0.6058
MOD13A3_006__1_km_monthly_NDVI_doy2003213_aid0001,_1_km_monthly_NDVI,aid0001,2003-08-01,1035.0,0.1097,0.8328,"(0.1097,0.8328)",0.6866,0.088,0.0077,0.7478,0.8328,0.7014,0.4998,0.6471
MOD13A3_006__1_km_monthly_NDVI_doy2003244_aid0001,_1_km_monthly_NDVI,aid0001,2003-09-01,1035.0,0.1038,0.8143,"(0.1038,0.8143)",0.6151,0.0958,0.0092,0.6884,0.8143,0.6153,0.3652,0.5524
MOD13A3_006__1_km_monthly_NDVI_doy2003274_aid0001,_1_km_monthly_NDVI,aid0001,2003-10-01,1035.0,-0.0234,0.7644,"(-0.0234,0.7644)",0.5109,0.121,0.0146,0.5924,0.7644,0.5042,0.2578,0.4546
MOD13A3_006__1_km_monthly_NDVI_doy2003305_aid0001,_1_km_monthly_NDVI,aid0001,2003-11-01,1035.0,-0.0181,0.708,"(-0.0181,0.708)",0.4489,0.1193,0.0142,0.5236,0.708,0.4375,0.1983,0.389
MOD13A3_006__1_km_monthly_NDVI_doy2003335_aid0001,_1_km_monthly_NDVI,aid0001,2003-12-01,1035.0,-0.039,0.8437,"(-0.039,0.8437)",0.4086,0.1583,0.025,0.5191,0.7569,0.3945,0.0629,0.3352
MOD13A3_006__1_km_monthly_NDVI_doy2004001_aid0001,_1_km_monthly_NDVI,aid0001,2004-01-01,1031.0,-0.0735,0.9453,"(-0.0735,0.9453)",0.3396,0.1787,0.0319,0.4366,0.6659,0.3521,0.0493,0.2812
MOD13A3_006__1_km_monthly_NDVI_doy2004032_aid0001,_1_km_monthly_NDVI,aid0001,2004-02-01,1035.0,-0.0454,0.9561,"(-0.0454,0.9561)",0.3429,0.1772,0.0314,0.4454,0.6832,0.3518,0.0448,0.2837
MOD13A3_006__1_km_monthly_NDVI_doy2004061_aid0001,_1_km_monthly_NDVI,aid0001,2004-03-01,1035.0,-0.0114,0.7233,"(-0.0114,0.7233)",0.402,0.1462,0.0214,0.4834,0.6575,0.416,0.1939,0.3637
MOD13A3_006__1_km_monthly_NDVI_doy2004092_aid0001,_1_km_monthly_NDVI,aid0001,2004-04-01,1035.0,-0.0075,0.7796,"(-0.0075,0.7796)",0.4643,0.1491,0.0222,0.5552,0.7253,0.484,0.2323,0.4256
MOD13A3_006__1_km_monthly_NDVI_doy2004122_aid0001,_1_km_monthly_NDVI,aid0001,2004-05-01,1035.0,-0.0069,0.804,"(-0.0069,0.804)",0.5396,0.1345,0.0181,0.6377,0.804,0.543,0.2215,0.4672
MOD13A3_006__1_km_monthly_NDVI_doy2004153_aid0001,_1_km_monthly_NDVI,aid0001,2004-06-01,1035.0,0.055,0.8029,"(0.055,0.8029)",0.5858,0.1259,0.0159,0.6851,0.8029,0.6064,0.223,0.499
MOD13A3_006__1_km_monthly_NDVI_doy2004183_aid0001,_1_km_monthly_NDVI,aid0001,2004-07-01,1035.0,0.0587,0.8462,"(0.0587,0.8462)",0.6359,0.1024,0.0105,0.7136,0.8462,0.6541,0.3511,0.5685
MOD13A3_006__1_km_monthly_NDVI_doy2004214_aid0001,_1_km_monthly_NDVI,aid0001,2004-08-01,1035.0,0.0904,0.8144,"(0.0904,0.8144)",0.661,0.0901,0.0081,0.7241,0.8144,0.676,0.4604,0.6168
MOD13A3_006__1_km_monthly_NDVI_doy2004245_aid0001,_1_km_monthly_NDVI,aid0001,2004-09-01,1035.0,0.11,0.7875,"(0.11,0.7875)",0.6001,0.0911,0.0083,0.663,0.7875,0.6051,0.3734,0.5459
MOD13A3_006__1_km_monthly_NDVI_doy2004275_aid0001,_1_km_monthly_NDVI,aid0001,2004-10-01,1035.0,-0.0385,0.7628,"(-0.0385,0.7628)",0.5205,0.1314,0.0173,0.5991,0.7628,0.5232,0.287,0.4681
MOD13A3_006__1_km_monthly_NDVI_doy2004306_aid0001,_1_km_monthly_NDVI,aid0001,2004-11-01,1035.0,-0.0449,0.7287,"(-0.0449,0.7287)",0.4643,0.1375,0.0189,0.5437,0.7287,0.4704,0.2119,0.4089
MOD13A3_006__1_km_monthly_NDVI_doy2004336_aid0001,_1_km_monthly_NDVI,aid0001,2004-12-01,1035.0,-0.0666,0.9101,"(-0.0666,0.9101)",0.4348,0.1501,0.0225,0.52,0.7506,0.4291,0.1443,0.3658
MOD13A3_006__1_km_monthly_NDVI_doy2005001_aid0001,_1_km_monthly_NDVI,aid0001,2005-01-01,1028.0,-0.0901,0.8857,"(-0.0901,0.8857)",0.3231,0.1801,0.0324,0.4312,0.6917,0.3522,-0.0338,0.2451
MOD13A3_006__1_km_monthly_NDVI_doy2005032_aid0001,_1_km_monthly_NDVI,aid0001,2005-02-01,1035.0,-0.0462,0.8857,"(-0.0462,0.8857)",0.281,0.1828,0.0334,0.3894,0.778,0.3168,-0.0462,0.1039
MOD13A3_006__1_km_monthly_NDVI_doy2005060_aid0001,_1_km_monthly_NDVI,aid0001,2005-03-01,1035.0,-0.0594,0.7977,"(-0.0594,0.7977)",0.3428,0.1842,0.0339,0.4388,0.6575,0.3762,0.0674,0.2902
MOD13A3_006__1_km_monthly_NDVI_doy2005091_aid0001,_1_km_monthly_NDVI,aid0001,2005-04-01,1035.0,-0.029,0.6842,"(-0.029,0.6842)",0.4055,0.1712,0.0293,0.51,0.6842,0.4528,0.1917,0.3809
MOD13A3_006__1_km_monthly_NDVI_doy2005121_aid0001,_1_km_monthly_NDVI,aid0001,2005-05-01,1035.0,-0.0313,0.7575,"(-0.0313,0.7575)",0.5054,0.1624,0.0264,0.6024,0.7575,0.5406,0.2993,0.4807
MOD13A3_006__1_km_monthly_NDVI_doy2005152_aid0001,_1_km_monthly_NDVI,aid0001,2005-06-01,1035.0,0.0049,0.8268,"(0.0049,0.8268)",0.5495,0.1396,0.0195,0.6482,0.8268,0.5742,0.2308,0.472
MOD13A3_006__1_km_monthly_NDVI_doy2005182_aid0001,_1_km_monthly_NDVI,aid0001,2005-07-01,1035.0,0.0732,0.8711,"(0.0732,0.8711)",0.6464,0.1102,0.0121,0.7294,0.8711,0.6608,0.3751,0.587
MOD13A3_006__1_km_monthly_NDVI_doy2005213_aid0001,_1_km_monthly_NDVI,aid0001,2005-08-01,1035.0,0.0787,0.8508,"(0.0787,0.8508)",0.6973,0.0902,0.0081,0.7669,0.8508,0.7087,0.4655,0.6457
MOD13A3_006__1_km_monthly_NDVI_doy2005244_aid0001,_1_km_monthly_NDVI,aid0001,2005-09-01,1035.0,0.1362,0.8382,"(0.1362,0.8382)",0.6514,0.0942,0.0089,0.7254,0.8382,0.6558,0.4141,0.5933
MOD13A3_006__1_km_monthly_NDVI_doy2005274_aid0001,_1_km_monthly_NDVI,aid0001,2005-10-01,1035.0,0.1362,0.7943,"(0.1362,0.7943)",0.5363,0.1059,0.0112,0.6115,0.7943,0.5241,0.2543,0.4632
MOD13A3_006__1_km_monthly_NDVI_doy2005305_aid0001,_1_km_monthly_NDVI,aid0001,2005-11-01,1035.0,-0.0145,0.7246,"(-0.0145,0.7246)",0.4267,0.1471,0.0216,0.5229,0.7246,0.4182,0.131,0.3594
MOD13A3_006__1_km_monthly_NDVI_doy2005335_aid0001,_1_km_monthly_NDVI,aid0001,2005-12-01,1035.0,-0.0265,0.7456,"(-0.0265,0.7456)",0.3898,0.1535,0.0236,0.4951,0.7456,0.3698,0.0183,0.3043
MOD13A3_006__1_km_monthly_NDVI_doy2006001_aid0001,_1_km_monthly_NDVI,aid0001,2006-01-01,1033.0,-0.0511,0.9859,"(-0.0511,0.9859)",0.2148,0.1478,0.0218,0.3091,0.6139,0.2294,-0.0511,0.0936
MOD13A3_006__1_km_monthly_NDVI_doy2006032_aid0001,_1_km_monthly_NDVI,aid0001,2006-02-01,1033.0,-0.0348,0.8398,"(-0.0348,0.8398)",0.3281,0.1751,0.0307,0.4298,0.6726,0.3278,0.0099,0.2616
MOD13A3_006__1_km_monthly_NDVI_doy2006060_aid0001,_1_km_monthly_NDVI,aid0001,2006-03-01,1032.0,-0.0602,0.7609,"(-0.0602,0.7609)",0.3514,0.1764,0.0311,0.4509,0.6613,0.3775,0.0987,0.3093
MOD13A3_006__1_km_monthly_NDVI_doy2006091_aid0001,_1_km_monthly_NDVI,aid0001,2006-04-01,1035.0,-0.034,0.7245,"(-0.034,0.7245)",0.4277,0.1738,0.0302,0.5238,0.7119,0.4648,0.2092,0.3945
MOD13A3_006__1_km_monthly_NDVI_doy2006121_aid0001,_1_km_monthly_NDVI,aid0001,2006-05-01,1035.0,0.013,0.7816,"(0.013,0.7816)",0.4992,0.1423,0.0202,0.5982,0.7816,0.5115,0.1867,0.426
MOD13A3_006__1_km_monthly_NDVI_doy2006152_aid0001,_1_km_monthly_NDVI,aid0001,2006-06-01,1035.0,0.0141,0.8025,"(0.0141,0.8025)",0.553,0.131,0.0171,0.654,0.8025,0.5634,0.2053,0.4716
MOD13A3_006__1_km_monthly_NDVI_doy2006182_aid0001,_1_km_monthly_NDVI,aid0001,2006-07-01,1035.0,0.0539,0.8261,"(0.0539,0.8261)",0.6318,0.1082,0.0117,0.7037,0.8261,0.6502,0.3931,0.5782
MOD13A3_006__1_km_monthly_NDVI_doy2006213_aid0001,_1_km_monthly_NDVI,aid0001,2006-08-01,1035.0,0.1031,0.8563,"(0.1031,0.8563)",0.6808,0.0888,0.0079,0.7408,0.8563,0.7003,0.4976,0.6423
MOD13A3_006__1_km_monthly_NDVI_doy2006244_aid0001,_1_km_monthly_NDVI,aid0001,2006-09-01,1035.0,0.0889,0.8495,"(0.0889,0.8495)",0.6443,0.0943,0.0089,0.7091,0.8495,0.65,0.4123,0.5901
MOD13A3_006__1_km_monthly_NDVI_doy2006274_aid0001,_1_km_monthly_NDVI,aid0001,2006-10-01,1035.0,0.1192,0.786,"(0.1192,0.786)",0.5411,0.108,0.0117,0.6146,0.786,0.5369,0.2831,0.4754
MOD13A3_006__1_km_monthly_NDVI_doy2006305_aid0001,_1_km_monthly_NDVI,aid0001,2006-11-01,1035.0,-0.0222,0.7388,"(-0.0222,0.7388)",0.4626,0.1246,0.0155,0.5368,0.7388,0.4621,0.2041,0.4008
MOD13A3_006__1_km_monthly_NDVI_doy2006335_aid0001,_1_km_monthly_NDVI,aid0001,2006-12-01,1034.0,-0.0621,0.9693,"(-0.0621,0.9693)",0.381,0.1908,0.0364,0.4857,0.7331,0.3985,0.0748,0.3194
