District Name,Year,,Winter,,,Summer,
,,,Day,Night,,Day,Night
Chakwal,2010,,20.20974,4.33712,,43.67678,23.94608
,2011,,20.79292,4.7385,,40.32792,25.30966
,2012,,19.6044,5.6969,,46.623,26.299125
,2013,,21.1343,5.61638,,43.21878,25.46982
,2014,,20.24622,4.67964,,41.64862,25.23
,2015,,20.80488,5.5251,,40.20014,23.72032
,2016,,23.07424,7.3298,,39.303,25.301725
,2017,,20.55028,6.0324,,39.45314,25.19954
,2018,,19.43128,5.506,,42.20992,25.5309
,2019,,19.77186667,6.0641,,43.39858,24.7677
,,,,,,,
,,,,,,,
Attok,2010,,18.61656,4.37852,,46.37852,25.07342
,2011,,19.85362,4.95532,,42.45844,25.8981
,2012,,19.07032,5.96244,,48.596975,27.217425
,2013,,20.23536,5.74284,,42.82512,25.82492
,2014,,19.2052,4.93082,,42.6769,25.80738
,2015,,19.0482,5.83518,,41.66878,24.86412
,2016,,21.84202,7.31098,,40.436675,26.244675
,2017,,19.1431,6.38788,,42.23552,26.00592
,2018,,18.0014,5.66956,,43.20202,26.39962
,2019,,18.93266667,6.359666667,,44.1709,25.27606
,,,,,,,
,,,,,,,
Bhakkar,2010,,23.20488,3.61472,,43.90346,24.06496
,2011,,23.33458,4.4882,,43.00588,26.15144
,2012,,23.01658,6.04146,,44.412975,26.79825
,2013,,24.09088,5.70782,,45.76644,26.76626
,2014,,21.63982,5.05602,,43.4487,26.56376
,2015,,24.3128,5.42726,,43.90208,25.57348
,2016,,25.02134,7.8195,,42.1566,26.409425
,2017,,23.84496,5.34434,,43.36482,26.7491
,2018,,22.50396,6.882475,,43.06732,25.81
,2019,,23.7049,6.595866667,,45.03266,25.17214
,,,,,,,
,,,,,,,
Bhawalnagar,2010,,23.82834,6.96998,,41.32368,25.9987
,2011,,23.98522,7.43782,,40.5334,26.78036
,2012,,24.78678,7.91652,,41.300875,27.48945
,2013,,25.21232,8.53554,,43.3586,26.84608
,2014,,25.03156,7.67864,,41.1465,26.68854
,2015,,24.23318,8.43296,,42.3501,25.40118
,2016,,26.49278,10.6454,,43.3753,27.199375
,2017,,24.0764,7.96224,,40.1273,27.07174
,2018,,24.35046,8.18802,,39.8809,26.07642
,2019,,22.9707,8.8121,,43.03398,26.15788
,,,,,,,
,,,,,,,
Bhawalpur,2010,,26.55322,7.61134,,44.91808,28.71338
,2011,,27.586,8.07014,,46.1324,29.5581
,2012,,28.80476,8.90976,,44.841675,30.199
,2013,,28.98856,9.60496,,47.13048,29.57746
,2014,,27.85204,8.34716,,45.2732,29.6852
,2015,,27.59108,8.85016,,47.13692,28.15528
,2016,,30.3701,11.7296,,48.1355,30.905375
,2017,,27.6177,9.10366,,43.54774,29.25654
,2018,,28.64166,8.95502,,44.7482,28.80658
,2019,,26.91423333,9.431666667,,48.68362,28.8862
,,,,,,,
,,,,,,,
Chiniot,2010,,20.45138,5.65698,,38.9598,24.53458
,2011,,20.94596,6.01854,,35.40964,25.38678
,2012,,21.171925,6.89096,,40.646725,26.5856
,2013,,21.9939,7.08264,,39.03334,25.95056
,2014,,20.78476,6.5631,,37.94038,25.98782
,2015,,21.60216,7.22526,,38.36122,24.44008
,2016,,22.52632,8.86148,,36.413875,25.8351
,2017,,21.988,6.28826,,36.34708,25.84978
,2018,,20.59316,7.06386,,36.21516,25.04136
,2019,,21.63223333,7.4569,,37.85986,24.70592
,,,,,,,
,,,,,,,
Dera Ghazi Khan,2010,,21.93994,7.5042,,40.57668,23.73826
,2011,,22.48274,8.33434,,40.14316,26.03286
,2012,,22.64692,8.88418,,42.6112,26.186275
,2013,,22.93006,8.92932,,42.63982,27.77578
,2014,,22.2425,8.58126,,41.23332,26.752
,2015,,22.78168,8.7743,,39.5405,24.57952
,2016,,24.31394,11.627,,41.338625,27.5401
,2017,,22.94864,8.71232,,39.96068,26.52316
,2018,,22.57576,9.36062,,41.73126,25.19224
,2019,,22.33153333,9.484633333,,42.00146,26.09694
,,,,,,,
,,,,,,,
Faisalabad,2010,,20.64974,6.44908,,39.45572,24.8639
,2011,,20.9196,7.03244,,35.38172,26.1469
,2012,,19.50056,7.35084,,40.8926,27.011625
,2013,,22.00718,7.83128,,39.55862,26.23316
,2014,,20.108,7.048,,38.49328,26.06138
,2015,,21.65816,7.95548,,38.40542,24.733
,2016,,23.16138,9.54904,,37.563275,26.64515
,2017,,21.63484,7.32934,,36.47978,26.34038
,2018,,20.6353,7.54462,,36.69588,25.71036
,2019,,20.8953,8.096733333,,39.00516,25.25358
,,,,,,,
,,,,,,,
Gujranwala,2010,,20.08016,6.28764,,40.88288,24.08716
,2011,,20.18584,7.10046,,35.01092,24.73758
,2012,,19.75998,7.13756,,42.47,25.8371
,2013,,20.91914,7.42706,,40.56314,25.48806
,2014,,18.58418,6.87976,,40.7324,24.89958
,2015,,20.82986,7.8035,,39.98908,24.66204
,2016,,21.43226,9.02696,,36.199725,25.47715
,2017,,20.52796,7.19582,,36.65968,25.43932
,2018,,19.49522,7.0491,,39.09756,25.49018
,2019,,19.7724,8.246666667,,41.83838,25.08348
,,,,,,,
,,,,,,,
Gujrat,2010,,19.65728,5.67906,,43.16024,24.35038
,2011,,21.09094,6.29746,,36.0906,24.63926
,2012,,18.53986,7.537125,,46.526075,26.626275
,2013,,20.51542,6.50094,,40.66476,25.6617
,2014,,18.86698,6.17522,,41.54906,24.80152
,2015,,19.21366,7.13642,,40.70058,24.56214
,2016,,21.08084,8.24384,,37.53335,25.6341
,2017,,20.0176,7.2333,,37.2416,25.13742
,2018,,19.08124,6.16292,,41.63994,25.90336
,2019,,18.8193,8.029633333,,43.39402,25.1328
,,,,,,,
,,,,,,,
Hafizabad,2010,,20.27006,6.28934,,41.31422,24.0273
,2011,,20.8914,7.01014,,36.21172,25.11628
,2012,,20.6296,7.0184,,43.09935,26.264225
,2013,,21.71166,7.51414,,40.33992,25.65736
,2014,,20.27164,6.7693,,41.00414,25.39458
,2015,,21.90498,7.5216,,39.9977,24.57148
,2016,,22.4451,8.9358,,37.156275,25.9996
,2017,,22.48722,6.76214,,37.35534,25.64858
,2018,,20.73916,7.04536,,39.13332,25.63718
,2019,,21.96796667,7.6823,,41.9465,24.79768
,,,,,,,
,,,,,,,
Jehlum,2010,,19.61298,6.5176,,42.7988,25.34258
,2011,,21.1279,7.33708,,37.37396,25.79962
,2012,,19.17318,7.9938,,46.181075,27.7586
,2013,,20.69762,7.77384,,40.7014,26.5372
,2014,,19.12248,7.09332,,39.13624,25.83994
,2015,,19.534,8.00652,,39.82804,25.19254
,2016,,22.02972,9.39074,,38.239525,26.44325
,2017,,20.35574,8.18316,,37.5589,25.94986
,2018,,19.07316,7.29124,,41.5983,26.59784
,2019,,19.90936667,8.486666667,,42.34806,26.07558
,,,,,,,
,,,,,,,
Jhung,2010,,21.87448,5.5501,,39.36638,24.64676
,2011,,22.21476,6.06186,,38.79558,26.13742
,2012,,21.65934,6.85996,,40.7992,26.84595
,2013,,22.87096,7.37282,,41.44022,26.5634
,2014,,21.7575,6.40406,,39.01496,26.14836
,2015,,22.90082,7.17994,,39.01144,25.01884
,2016,,23.8212,9.29302,,39.298,26.6746
,2017,,22.57634,6.54628,,37.61126,26.20628
,2018,,21.65202,7.26646,,38.77384,25.14232
,2019,,22.94943333,7.261633333,,39.93192,25.14276
,,,,,,,
,,,,,,,
Kasur,2010,,20.43472,6.56314,,38.923,24.45006
,2011,,20.2965,7.4496,,33.57288,25.02892
,2012,,20.3463,7.29454,,39.631475,26.542725
,2013,,20.77942,7.61318,,37.60948,25.44038
,2014,,18.88866,7.20126,,38.30708,25.5079
,2015,,21.15144,7.88134,,37.6827,24.22324
,2016,,22.30832,9.50662,,36.87805,25.5505
,2017,,20.59412,7.32748,,35.09642,25.37952
,2018,,20.34186,7.18886,,36.58526,24.96648
,2019,,21.01353333,8.2579,,37.95366,24.97714
,,,,,,,
,,,,,,,
Khanewal,2010,,21.20356,6.43648,,37.92868,24.61168
,2011,,21.31988,7.00676,,37.20228,26.4059
,2012,,21.8004,7.36568,,37.545525,26.361275
,2013,,21.86778,8.67322,,38.58422,26.32814
,2014,,21.3785,7.69756,,37.0057,25.80648
,2015,,21.10772,8.2284,,37.5511,24.93666
,2016,,22.28526,10.77462,,38.598375,26.65245
,2017,,20.76338,8.1959,,35.72544,26.31602
,2018,,20.94902,8.60776,,36.9591,25.16522
,2019,,21.07133333,8.708166667,,37.62432,25.06424
,,,,,,,
,,,,,,,
Khushab,2010,,22.01638,4.56748,,42.76234,24.61014
,2011,,22.66006,5.2479,,39.7521,25.35674
,2012,,21.63258,6.45806,,44.4669,27.120625
,2013,,23.54518,6.3199,,43.71354,26.1339
,2014,,21.54148,5.69538,,42.01942,26.30224
,2015,,23.5544,6.1106,,41.80144,24.50794
,2016,,24.69444,8.1591,,40.48885,26.063775
,2017,,23.04486,6.29978,,41.3127,26.23198
,2018,,21.79062,6.49784,,41.41892,25.6797
,2019,,22.92213333,6.940933333,,43.4781,25.28716
,,,,,,,
,,,,,,,
Lahore,2010,,20.30142,7.52072,,39.80064,25.12728
,2011,,20.33138,8.3538,,34.3508,25.65658
,2012,,19.33964,8.28334,,41.301725,27.39725
,2013,,20.58344,8.68198,,38.22448,26.0559
,2014,,18.91196,7.78448,,38.81602,26.23224
,2015,,21.20956,8.94234,,37.95958,25.28572
,2016,,21.84482,10.38584,,35.86545,25.9687
,2017,,20.36464,8.55998,,35.9415,26.08562
,2018,,20.1262,8.29576,,38.07798,26.05254
,2019,,20.14713333,9.280966667,,38.92306,26.20484
,,,,,,,
,,,,,,,
Layyah,2010,,22.15032,4.76256,,41.3886,23.81568
,2011,,22.5531,5.54954,,41.10418,26.42232
,2012,,22.82056,6.55034,,43.337,26.601725
,2013,,22.99154,6.73114,,44.20666,26.89814
,2014,,21.32416,6.18604,,42.48162,26.4741
,2015,,22.9582,6.39684,,41.33746,25.16314
,2016,,23.82326,9.23212,,41.2982,26.989
,2017,,22.70756,6.43568,,40.63104,26.5659
,2018,,22.18508,7.32422,,41.91794,25.4126
,2019,,22.56196667,7.669833333,,43.17934,25.27768
,,,,,,,
,,,,,,,
Lodhran,2010,,21.14602,6.5725,,38.3063,25.11986
,2011,,21.323,7.03338,,37.34372,25.94938
,2012,,22.49092,8.714025,,37.240925,26.335675
,2013,,21.91276,9.08436,,38.66306,26.49196
,2014,,20.35534,8.03696,,36.78568,25.77418
,2015,,20.82676,8.9405,,36.58948,24.78864
,2016,,22.41246,11.29794,,38.9139,27.3451
,2017,,20.73448,8.60546,,35.43154,25.75814
,2018,,20.71556,9.04196,,36.56834,25.57336
,2019,,20.39866667,9.378566667,,37.13552,25.26554
,,,,,,,
,,,,,,,
Mandi_Bahuddin,2010,,18.89766,5.94684,,40.68806,24.24178
,2011,,19.89894,6.62934,,34.57712,24.9043
,2012,,18.80038,7.19644,,42.22135,26.148
,2013,,20.36538,7.07022,,39.31652,25.71902
,2014,,18.23492,6.8377,,39.75376,25.39744
,2015,,19.50544,7.55504,,39.16512,24.75964
,2016,,20.7666,8.7871,,36.3146,26.034075
,2017,,21.00348,6.68966,,36.53364,25.52282
,2018,,18.73616,6.787,,39.64574,25.86092
,2019,,20.11236667,7.833266667,,41.54944,25.0025
,,,,,,,
,,,,,,,
Mianwali,2010,,19.56026,5.70626,,41.84558,24.60372
,2011,,19.96188,5.99394,,40.01368,26.24248
,2012,,19.94084,6.94164,,43.422875,26.1793
,2013,,20.7464,7.06308,,41.76342,26.46814
,2014,,19.84092,6.21854,,41.29608,26.14102
,2015,,20.50154,7.02094,,39.98564,24.7397
,2016,,21.99808,8.98814,,38.99255,26.24805
,2017,,21.06376,7.04092,,40.13348,26.15464
,2018,,19.64178,7.2794,,41.44712,26.33788
,2019,,20.6049,7.762833333,,43.13502,25.76602
,,,,,,,
,,,,,,,
Multan,2010,,20.247,7.02962,,37.78114,25.10124
,2011,,20.75406,7.50316,,37.2005,26.53078
,2012,,21.53902,8.33188,,37.055725,26.19865
,2013,,21.47196,9.19222,,38.38596,26.88414
,2014,,20.03932,8.2375,,36.9962,26.06476
,2015,,20.79756,8.79068,,36.55688,24.96586
,2016,,22.4389,11.42188,,37.856725,27.293325
,2017,,20.50274,8.75998,,35.7489,26.30192
,2018,,20.82156,9.20974,,36.94704,25.5374
,2019,,20.8747,9.2635,,37.10116,25.54984
,,,,,,,
,,,,,,,
Muzaffargarh,2010,,21.0363,6.38556,,39.8846,24.75644
,2011,,21.51896,7.11426,,38.34388,26.3052
,2012,,22.19402,7.90504,,39.410925,26.191125
,2013,,22.1155,8.31972,,39.55014,26.83948
,2014,,20.8146,7.64782,,38.74994,26.20864
,2015,,21.80518,7.84366,,38.36278,24.85228
,2016,,23.1294,10.62218,,38.366,26.902675
,2017,,21.47408,7.9181,,37.34846,26.25788
,2018,,21.73382,8.61246,,39.06794,24.99648
,2019,,22.02716667,8.767733333,,39.03656,25.09452
,,,,,,,
,,,,,,,
Nankhana sahib,2010,,20.82592,6.50882,,41.07298,24.5993
,2011,,20.65534,7.39986,,35.15344,25.45986
,2012,,19.62694,7.22794,,41.853525,26.74685
,2013,,21.7329,7.7574,,39.47252,25.71988
,2014,,20.72198,6.76488,,39.65348,25.63824
,2015,,21.9381,7.831,,39.57486,24.4795
,2016,,22.95456,9.25782,,37.17025,25.79805
,2017,,21.86546,7.13646,,36.4996,25.84362
,2018,,20.59596,7.40698,,37.88214,25.2789
,2019,,21.59826667,7.7476,,40.63488,24.82742
,,,,,,,
,,,,,,,
Narowal,2010,,20.31324,6.41392,,44.97482,24.09998
,2011,,20.89056,6.98482,,36.35408,23.91606
,2012,,18.24218,7.02428,,45.6083,25.41915
,2013,,20.44506,6.8434,,41.07446,24.7799
,2014,,18.51284,6.3353,,42.69424,24.5188
,2015,,21.09224,7.28922,,42.29416,24.12486
,2016,,21.29986,8.371,,37.592175,24.865025
,2017,,19.39358,7.66432,,39.58742,25.23432
,2018,,19.14296,6.6285,,40.67924,25.09332
,2019,,18.6151,9.016733333,,46.14166,24.93882
,,,,,,,
,,,,,,,
Okara,2010,,20.47872,6.77824,,38.14588,24.67676
,2011,,20.1998,7.58706,,34.2371,25.78548
,2012,,20.91818,7.33586,,38.636225,26.510175
,2013,,21.42096,8.00612,,37.57426,25.74492
,2014,,23.10936667,7.41148,,37.14982,25.62404
,2015,,21.17164,8.12406,,37.34948,24.2775
,2016,,22.69716,10.09772,,37.748675,26.4102
,2017,,20.8199,7.59564,,35.23228,25.90012
,2018,,20.5178,7.63618,,35.4924,25.03828
,2019,,20.8361,8.488166667,,38.41874,25.26398
,,,,,,,
,,,,,,,
Pakpattan,2010,,20.771,6.91882,,38.4253,24.6014
,2011,,20.718,7.50786,,35.54028,26.05276
,2012,,21.71676,7.45072,,38.603,26.405375
,2013,,22.11332,8.31806,,37.91216,25.66404
,2014,,20.33156,7.60618,,37.742,25.75524
,2015,,21.6221,8.25718,,38.13868,24.62342
,2016,,23.52512,10.42286,,39.7492,26.779425
,2017,,21.399,7.87976,,36.74242,26.146
,2018,,21.22652,8.00674,,36.13214,25.31488
,2019,,20.66513333,8.606933333,,37.90156,25.2263
,,,,,,,
,,,,,,,
Rahim yar khan,2010,,24.40844,7.5699,,42.64286,27.62866
,2011,,24.88332,8.26568,,41.98338,28.22924
,2012,,26.018,9.3103,,41.021775,28.75645
,2013,,25.88486,9.70776,,42.01296,28.4199
,2014,,24.7458,8.85156,,41.05298,28.91358
,2015,,24.9167,9.07172,,41.87146,27.16964
,2016,,27.04666,12.01872,,42.481625,29.588575
,2017,,25.0843,9.361,,39.76938,28.37864
,2018,,25.92254,9.43668,,41.15508,28.16098
,2019,,25.07523333,9.490433333,,43.39046,27.8044
,,,,,,,
,,,,,,,
Rajanpur,2010,,24.56104,8.18922,,43.25846,26.68762
,2011,,25.13344,9.1507,,42.93298,27.93092
,2012,,25.64054,9.99742,,43.15505,27.821025
,2013,,25.89408,10.11784,,43.78466,29.06516
,2014,,25.15924,9.5015,,43.33512,28.28492
,2015,,25.28834,9.74422,,42.68598,26.63292
,2016,,26.96728,12.65084,,43.65105,29.35315
,2017,,25.25182,9.66892,,41.11812,27.5242
,2018,,25.0989,10.34006,,43.71846,27.36254
,2019,,24.44146667,10.43316667,,43.69296,27.52256
,,,,,,,
,,,,,,,
Rawalpindi,2010,,18.23724,4.75196,,42.23322,23.2787
,2011,,19.69426,5.51546,,37.2294,24.21998
,2012,,16.9712,6.30612,,45.758575,25.9354
,2013,,18.61742,5.73546,,38.93194,24.62878
,2014,,17.82434,5.22478,,37.56406,23.82284
,2015,,17.54964,6.39262,,37.83076,23.18494
,2016,,20.73232,7.4647,,36.508125,24.5544
,2017,,17.8519,6.59746,,36.48764,24.0851
,2018,,16.94952,5.50226,,39.94506,24.86484
,2019,,16.97466667,6.6383,,40.79234,23.72828
,,,,,,,
,,,,,,,
Sahiwal,2010,,20.8128,6.68104,,37.26306,24.55664
,2011,,20.7167,7.31832,,35.71162,26.34638
,2012,,20.84194,7.3723,,38.672275,26.3714
,2013,,21.58174,8.4516,,38.05634,25.95322
,2014,,20.855375,7.32294,,37.14444,25.72052
,2015,,21.12124,8.18662,,37.29964,24.70584
,2016,,22.72398,10.39122,,38.603225,26.9527
,2017,,20.8959,8.00264,,35.76168,26.29844
,2018,,20.62332,8.10162,,36.8314,25.29372
,2019,,20.55846667,8.4584,,38.26198,25.20678
,,,,,,,
,,,,,,,
Sargodah,2010,,19.498,6.10924,,39.5181,24.66124
,2011,,20.28322,6.65346,,35.17378,25.52026
,2012,,19.07126,7.41492,,41.511525,27.004825
,2013,,20.93034,7.5097,,38.96874,26.02546
,2014,,19.33702,7.17796,,38.20862,26.09002
,2015,,20.36848,7.79234,,38.36516,24.69736
,2016,,21.29374,9.34162,,36.587775,25.96265
,2017,,20.74856,7.09114,,36.549,26.01472
,2018,,19.34454,7.4611,,37.19616,25.43502
,2019,,20.51686667,8.1992,,38.74376,25.20536
,,,,,,,
,,,,,,,
Sheikhupura,2010,,20.54742,6.38158,,40.1646,24.11516
,2011,,20.34312,7.32876,,35.10484,25.08642
,2012,,19.00178,7.33512,,42.350625,26.2542
,2013,,21.09666,7.61986,,39.33764,25.3183
,2014,,18.93406,6.61464,,40.03722,25.0982
,2015,,21.50578,7.78704,,39.14078,24.34912
,2016,,22.16146,9.2162,,35.816825,25.24315
,2017,,20.70532,7.28158,,36.5455,25.40768
,2018,,20.13208,7.18548,,38.32624,25.23542
,2019,,20.32933333,8.1524,,41.41772,24.9269
,,,,,,,
,,,,,,,
Sialkot,2010,,19.9243,6.15906,,43.66894,24.23266
,2011,,20.5498,6.74322,,35.50136,23.97838
,2012,,18.50466,7.0939,,45.33715,25.367125
,2013,,20.44964,6.71886,,40.44618,25.25574
,2014,,18.2831,6.37246,,42.65046,24.80944
,2015,,20.23966,7.25998,,40.80792,24.26684
,2016,,20.65188,8.5404,,37.34725,25.156
,2017,,19.32982,7.41424,,37.90728,25.1657
,2018,,19.0734,6.34244,,40.33416,25.2136
,2019,,18.63996667,8.702033333,,44.76318,25.11664
,,,,,,,
,,,,,,,
Toba tek singh,2010,,20.92798,6.21838,,38.22102,24.82358
,2011,,21.21082,6.71162,,37.05688,26.2147
,2012,,20.5835,7.16066,,40.06815,26.74475
,2013,,22.11774,7.93434,,39.7835,26.25948
,2014,,20.7543,7.0335,,37.8747,25.87314
,2015,,21.73608,7.66954,,37.54776,24.99016
,2016,,23.21078,9.64622,,39.374525,27.05655
,2017,,21.44708,7.25344,,36.52016,26.2819
,2018,,20.80938,7.75978,,37.72692,25.4504
,2019,,21.1811,7.814666667,,39.19274,25.0606
,,,,,,,
,,,,,,,
Vehari,2010,,21.522,6.58846,,37.69962,24.91464
,2011,,21.24874,7.07134,,36.32054,26.0646
,2012,,22.2818,7.51414,,36.309325,26.05375
,2013,,22.11174,8.58702,,38.0072,26.14082
,2014,,20.41184,7.36224,,36.5153,25.62118
,2015,,21.52842,8.32314,,37.52624,24.806
,2016,,23.08142,10.53352,,38.932425,27.037675
,2017,,21.08102,8.04502,,35.72694,26.05296
,2018,,20.96838,8.31468,,36.82498,25.34924
,2019,,20.6404,8.653933333,,37.19538,25.0031
