District,Total_corona_cases_March,Total_corona_death_March,Total_corona_recoveries_March,Total_corona_cases_April,Total_corona_death_April,Total_corona_recoveries_April,Total_corona_cases_June,Total_corona_death_June,Total_corona_recoveries_june,Latitude (generated),Longitude (generated),TotalPopulation,Area(km^2)
Abbottabad,2,1,0,29,2,15,201,9,21,34.15,73.2138,1332912,"18,013"
Astore,4,0,0,10,1,2,31,5,20,35.347533,74.861062,71666,"5,092"
Attock,1,0,0,14,0,0,24,0,0,33.772,72.368,1883556,"6,857"
Awaran,0,0,0,6,0,0,23,0,0,26.4749,65.2679,48750,"29,510"
Badin,0,0,0,14,0,1,22,4,10,24.65,68.833,1804522,"6,726"
Bahawalnagar,1,0,0,20,0,4,45,7,12,30.55,73.39,2981919,"8,878"
Bahawalpur,1,0,0,53,0,4,74,8,24,29.3962,71.6869,3668106,"21,765"
Bajaur,2,0,0,10,1,5,178,11,47,34.782749,71.532708,1093684,"1,290"
Bannu,1,0,0,28,1,19,50,1,7,32.989,70.606,1167842,"1,227"
Barkhan,0,0,0,0,0,0,0,0,0,29.8995,69.5246,171556,"3,408"
Batagram,1,0,0,20,0,0,77,3,29,34.676834,73.02755,476612,"1,301"
Bhakkar,0,0,0,63,0,0,83,5,0,31.625,71.065,1650518,"8,153"
Bhambore ,0,0,0,2,0,0,7,0,0,24.7508,67.5194,3566300,"31,436"
Buner,5,0,0,78,1,35,60,3,32,34.490828,72.518118,897337,"1,865"
Chagai,0,0,0,0,0,0,0,0,0,29.3058,64.6945,226008,"44,748"
Chakwal,1,0,0,5,0,1,15,5,10,32.933,72.866,1495982,"6,524"
Charsadda,2,0,0,39,2,18,162,4,18,34.145,71.731,1616198,996
Chiniot,0,0,0,8,0,0,18,0,0,31.72,72.978,1369740,"2,643"
Chitral,0,0,0,0,0,0,0,0,0,35.852287,71.787107,447362,"14,850"
Chitral Lower,1,0,0,8,0,0,23,0,16,35.8689696,71.7971566,169240,"8,392"
Chitral Upper,2,0,0,3,0,0,7,0,3,35.769883,71.77411,169240,"8,392"
Dadu,1,0,0,17,0,8,23,0,11,26.733,67.783,1550266,"7,866"
Dera Bugti,0,0,0,0,0,0,0,0,0,29.0307,69.151,312603,"10,159"
Dera Ghazi Khan,35,0,2,212,6,180,514,28,200,30.056,70.634,2872201,"11,294"
Dera Ismail Khan,18,0,10,58,2,50,65,2,60,31.832,70.902,1627132,"9,334"
Diamer,0,0,0,3,0,0,9,0,12,35.4985859,73.3684439,214000,"10,936"
Dir Lower,3,1,0,5,1,2,228,4,75,34.868024,71.84701,1435917,"1,582"
Dir Upper,2,0,0,33,0,22,92,2,45,35.305038,72.096277,946421,"3,699"
Faisalabad,9,0,0,68,0,0,123,10,30,31.4155,73.0908,7873910,"1,300"
FR Bannu,0,0,0,0,0,0,0,0,0,32.56,70.22,43114,"1,227"
FR Dera Ismail Khan,0,0,0,0,0,0,0,0,0,31.3,69.55,68556,"9,334"
FR Kohat,13,0,0,46,3,31,55,7,13,33.586,71.442,118578,"2,545"
FR Lakki Marwat,,0,0,0,0,0,0,0,0,32.6412,70.3599,26359,"3,164"
FR Peshawar,0,0,0,26,0,0,44,0,0,33.8078,71.7356,64691,215
FR Tank,0,0,0,0,0,0,1,0,0,32.434,70.2885,36389,"1,679"
Ghanche,1,0,0,2,0,1,15,0,0,35.160867,76.341063,160000,"4,052"
Ghizer,1,0,0,4,0,0,7,0,3,36.2797,73.2765,200000,"12,381"
Ghotki,23,0,2,137,0,2,176,1,126,28.00437,69.31569,505998,"6,083"
Gilgit,34,0,0,121,0,40,194,7,57,35.918473,74.3335,1301000,"4,208"
Gujranwala,19,0,0,66,0,1,127,14,31,32.1547,74.1804,5014196,"3,622"
Gujrat,50,0,0,101,0,4,150,10,23,32.572,74.089,2756110,"3,192"
Gwadar,0,0,0,0,0,0,0,0,0,25.126389,62.322498,263514,"12,637"
Hafizabad,5,0,0,42,0,1,72,0,19,32.067,73.685,1156957,"2,367"
Hangu,1,1,0,18,0,11,4,0,4,33.528,71.058,518798,"1,097"
Haripur,1,0,0,9,0,6,73,3,26,33.999,72.934,1003031,1725
Harnai,0,0,0,0,0,0,0,0,0,30.1044,67.9375,97017,"4,096"
Hunza,0,0,0,4,0,0,19,0,0,36.344527,74.603231,243324,"11,660"
Hyderabad,117,0,1,164,3,160,209,8,200,25.3763,68.3432,2199463,"5,519"
Islamabad,53,0,3,285,3,12,2213,23,76,33.7194,73.0741,2006572,907
Jacobabad,1,0,0,14,0,1,54,0,50,28.286,68.433,1006297,"2,686"
Jaffarabad,0,0,0,0,0,0,0,0,0,28.3009,68.1908,513813,"2,445"
Jamshoro,3,0,0,16,0,11,49,0,24,25.416868,68.274307,993142,"11,517"
Jhal Magsi,0,0,0,0,0,0,0,0,0,28.2816,67.4576,149225,"3,615"
Jhang,0,0,0,2,0,0,17,0,0,31.2465,72.3333,2743416,"6,166"
Jhelum,28,0,0,46,0,3,89,0,13,32.940548,73.727631,1222650,"3,587"
Kachhi,2,0,0,5,0,0,17,2,0,29.2293,67.6662,237030,"8,036"
Kalat,0,0,0,0,0,0,0,0,0,29.0523,66.5879,412232,"6,621"
Karachi City,245,8,29,4630,100,631,20290,309,10476,24.8709,67.1145,16051521,"3,780"
Karak,1,0,0,82,0,4,49,3,13,33.110578,71.088365,706299,"3,372"
Kashmore,0,0,0,9,0,0,19,1,17,28.433,69.583,1089169,"2,592"
Kasur,1,0,0,9,0,0,20,0,0,31.115,74.446,1694983,"3,995"
Kech,0,0,0,0,0,0,0,0,0,26.1561,63.0148,469344,"22,539"
Khairpur,14,0,0,205,0,2,47,1,352,27.529951,68.758141,2711592,"15,910"
Khanewal,0,0,0,7,0,0,30,0,12,30.286415,71.93203,2921989,"4,349"
Kharan,0,0,0,0,0,0,0,0,0,28.5855,65.4163,156152,"48,051"
Kharmang,1,0,0,3,0,0,10,0,0,35.01888889,76.12972222,188000,"7,909"
Khushab,1,0,0,26,0,0,45,0,0,32.296,72.352,1281299,"6,511"
Khuzdar,0,0,0,0,0,0,0,0,0,27.8165,66.6057,802207,"35,380"
Khyber,1,0,0,10,0,11,193,3,29,33.979947,71.139336,542570,"2,576"
Killa Abdullah,0,0,0,0,0,0,0,0,0,30.8055,66.7129,757578,"3,293"
Killa Saifullah,0,0,0,0,0,0,0,0,0,30.7033,68.3697,342814,"6,831"
Kohat,0,0,0,0,0,0,0,0,0,33.5889,71.4429,993874,"2,545"
Kohistan,0,0,0,0,0,0,0,0,0,35.2611,73.2765,784711,"7,492"
Kohistan Lower,0,0,0,0,0,0,0,0,0,35.3932967,72.7610116,202913,"3,746"
Kohistan upper,0,0,0,1,0,0,0,0,0,35.08333333,72.96666667,306337,"3,746"
Kohlu,0,0,0,0,0,0,0,0,0,29.8976,69.249,214350,"7,610"
Kolai Pallas,0,0,0,0,0,0,0,0,0,35.0999996,73,275461,
Kurram,1,0,0,2,0,0,63,0,5,33.706747,70.389776,619553,
Lahore,133,0,5,4062,112,393,18544,388,2635,31.4978,74.3601,11126285,
Lakki Marwat,0,0,0,3,1,0,5,0,4,32.607,70.911,876155,
Larkana,7,0,0,126,0,10,187,12,23,27.55,68.216,1524391,
Las Bela,0,0,0,0,0,0,0,0,0,25.87,66.7129,574292,
Layyah,1,0,,31,0,0,45,0,0,30.961,70.939,1824230,
Lehri,0,0,0,0,0,0,0,0,0,33.1532,73.5579,118046,
Lodhran,2,0,0,79,0,0,258,3,166,29.54,71.633,1700620,
Loralai,0,0,0,5,0,0,17,0,0,30.3806,68.5963,397400,
Lower Dir,12,0,0,44,0,0,444,23,123,34.9161,71.8097,1435917,
Malakand PA,3,0,0,59,3,1,331,11,48,34.56534,71.983561,720295,
Mandi Bahauddin,4,0,0,25,0,7,40,0,14,32.583,73.484,1593292,
Mansehra,6,0,0,46,3,8,71,11,13,34.333,73.2,1556460,
Mardan,57,1,9,86,4,47,299,14,73,34.198,72.045,2373061,1632
Mastung,0,0,0,0,0,0,0,0,0,29.8825,66.7844,266461,
Matiari,0,0,0,5,0,0,7,1,45,25.596,68.446,769349,
Mianwali,3,0,0,15,0,1,30,0,5,32.574,71.526,1546094,
Mirpur,2,0,0,2,0,0,5,0,0,33.118377,73.744818,124352,
Mirpur Khas,1,0,0,10,0,0,26,2,16,25.525,69.015,1505876,
Mohmand,2,0,0,2,1,0,14,0,4,34.5655,71.4774,466984,
Multan,75,2,1,637,0,0,785,5,45,30.1735,71.469,4745109,
Musakhel,0,0,0,0,0,0,0,0,0,30.8478,69.955,167017,
Muzaffarabad,4,0,0,60,0,1,182,5,100,34.37,73.471,149913,
Muzaffargarh,10,0,0,61,0,0,112,5,80,30.075,71.192,4322009,
Nagar,4,1,3,12,0,2,72,4,55,36.273351,74.726677,51387,
Nankana,13,0,1,14,0,5,34,0,10,31.447,73.697,79540,
Nankana Sahib,0,0,0,0,0,0,0,0,0,31.4492,73.7125,1628874,
Narowal,1,0,0,30,0,0,60,0,0,32.1,74.883,1709757,
Nasirabad,0,0,0,0,0,0,0,0,0,27.3793,67.9196,490538,
Naushahro Feroze,0,0,0,20,0,1,28,1,21,26.842,68.122,1612373,
North Waziristan,0,0,0,2,0,2,6,0,3,32.956928,70.169395,543254,
Nowshera,3,0,0,40,3,17,198,9,58,33.996,72.013,1518540,
Nushki,0,0,0,0,0,0,0,0,0,29.5514,66.0107,178796,
Okara,0,0,0,1,0,0,7,0,0,30.808,73.445,3039139,
Orakzai,1,0,0,2,0,1,7,0,3,33.715754,71.005449,254356,
Pakpattan,0,0,0,1,0,0,16,0,0,30.35,73.4,969225,
Panjgur,0,0,0,0,0,0,0,0,0,26.9706,64.0887,316385,"16,891"
Peshawar,43,0,0,1348,73,160,3201,185,280,34.0114,71.5645,4269079,"1,257"
Pishin,0,0,0,1,0,0,3,0,0,30.584213,66.995823,736481,"7,819"
Qambar Shahdadkot,0,0,0,4,0,0,79,0,92,27.85,68.001,1341042,5881
Quetta,137,1,19,1051,13,157,3161,31,1277,30.1802,66.9964,2275699,"2,653"
Rahim Yar Khan,3,1,0,86,0,2,147,15,44,28.424043,70.300054,4814006,"11,880"
Raiwind,52,0,1,494,1,0,807,7,78,31.254,74.217,855626,
Rajanpur,0,0,0,9,0,0,23,0,0,29.103,70.325,1995958,"12,318"
Rawalpindi,44,0,0,143,1,0,567,35,44,33.5546,73.1064,5405633,"5,286"
Sahiwal,0,0,0,8,0,0,14,0,0,30.677717,73.106812,2517560,"3,201"
Sanghar,1,0,0,19,0,2,30,1,25,26.033,68.95,2057057,"10,608"
Sargodha,3,0,0,161,0,4,174,8,20,32.0778,72.6722,3703588,"5,854"
Shaheed Benazirabad,2,0,0,23,1,6,120,1,55,26.235284,68.388627,1612847,"4,502"
Shangla,1,0,0,25,1,9,91,0,25,34.852059,72.738327,377771,1586
Sheerani,0,0,0,0,0,0,0,0,0,31.6943,69.7644,153116,"2,800"
Sheikhupura,4,0,0,25,0,0,78,0,15,31.713,73.978,3187926,"3,030"
Shigar,16,0,1,22,0,18,30,0,20,35.4333,75.7333,62707,"8,500"
Shikarpur,14,0,0,57,0,0,168,4,124,27.957,68.637,1231481,"2,640"
Sialkot,20,0,0,78,0,0,124,10,37,32.4836,74.556,3893672,"3,016"
Sibi,0,0,0,0,0,0,0,0,0,29.5532,67.8808,135572,"29,220"
Skardu,1,0,3,18,0,0,49,1,2,35.317806,75.552296,214848,77
Sohbatpur,0,0,0,0,0,0,0,0,0,28.5188,68.5411,200538,978
South Waziristan,1,0,0,2,0,2,1,0,1,32.399536,69.727014,679185,"6,619"
Sujawal,0,0,0,9,0,1,12,0,13,24.6025,68.0737,781967,"7,355"
Sukkur,149,0,33,156,2,147,274,3,246,27.7221,68.8333,1487903,"5,165"
Swabi,4,0,0,7,2,12,103,7,36,34.12,72.472,1624616,"1,543"
Swat,3,0,0,99,11,36,664,32,194,35.429612,72.566529,1427140,"5,337"
Taftan,12,0,0,24,2,0,30,2,5,28.964802,61.585609,226008,
Tando Allah Yar,2,0,0,8,0,6,12,0,14,25.462,68.719,836887,"1,588"
Tando Muhammad Khan,2,0,0,32,0,17,42,0,25,25.133,68.533,677228,"1,734"
Tank,0,0,0,1,0,1,7,0,6,32.221,70.379,391885,"1,679"
Tharparkar,0,0,0,3,0,0,4,0,2,24.877678,70.240829,1649661,"19,638"
Thatta,0,0,0,8,0,3,39,2,7,24.747,67.923,979817,"17,355"
Toba Tek Singh,0,0,0,7,0,0,9,1,0,30.974,72.482,2190015,"4,364"
Tor Ghar,0,0,0,2,0,0,2,0,0,30.0325,67.900278,171395,497
Trarkhel,0,0,0,1,0,0,2,0,0,33.7615,73.7882,297584,234
Umerkot,0,0,0,4,0,1,4,0,1,25.366,69.733,1073146,"5,608"
Upper Dir,2,0,0,7,0,0,19,0,0,35.3356,72.0468,946421,"3,699"
Vehari,2,0,0,70,0,6,80,4,12,30.033,72.35,1882061,"4,364"
Washuk,0,0,0,0,0,0,0,0,0,27.7179,64.8052,108170,"29,510"
Zhob,0,0,0,0,0,0,0,0,0,31.3497,69.4665,310544,"20,297"
Ziarat,1,0,0,1,0,0,1,0,0,30.38244,67.72562,160422,926
